round,agent,action,clicks,payout,profit,timestamp
39,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.614820
39,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.614889
39,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.614953
39,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.615016
40,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.615080
40,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.615145
40,lelouch,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.615184
40,senku,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.615240
40,yuzu,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.615296
41,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.615360
41,kazuya,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.615408
41,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.615470
41,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.615533
41,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.615596
42,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.615659
42,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.615698
42,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.615761
42,senku,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.615800
42,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.615862
43,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.615919
43,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.615984
43,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.616047
43,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.616110
43,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.616173
44,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.616230
44,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.616293
44,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.616357
44,senku,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.616395
45,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.616462
45,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.616525
45,lelouch,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.616573
45,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.616636
46,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.616701
46,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.616764
46,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.616826
46,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.616889
47,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.616953
47,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.617017
47,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.617080
47,senku,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.617119
48,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.617186
48,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.617431
48,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.617513
48,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.617579
49,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.617645
49,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.617687
49,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.617752
50,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.617809
50,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.617873
51,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.617938
51,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.618001
52,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.618052
52,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.618116
53,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.618157
53,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.618195
54,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618260
54,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.618324
55,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618390
56,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618454
57,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618522
58,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.618581
59,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:04:44.618622
60,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618687
61,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618752
62,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.618803
63,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.618869
64,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.618927
65,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:04:44.618978
66,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.619042
67,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.619108
68,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.619172
69,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.619237
